Date,HomeTeamName,AwayTeamName,HomeTeamGoals,AwayTeamGoals,Stage,SpecialWinConditions,Stadium,City,Attendance,Year
1980/6/18,Spain,England,1,2,Group 2,,Stadio San Paolo, Naples,14440,1980
1980/6/18,Italy,Belgium,0,0,Group 2,,Stadio Olimpico, Rome,42318,1980
1980/6/21,Czechoslovakia,Italy,1,1,Third place play-off,,Stadio San Paolo, Naples,24652,1980
1980/6/22,Belgium,West Germany,1,2,Final,,Stadio Olimpico, Rome,47860,1980
1984/6/12,France,Denmark,1,0,Group 1,,Parc des Princes, Paris,47570,1984
1984/6/13,Belgium,Yugoslavia,2,0,Group 1,,Stade F茅lix-Bollaert, Lens,41525,1984
1984/6/16,France,Belgium,5,0,Group 1,,Stade de la Beaujoire, Nantes,51359,1984
1984/6/16,Denmark,Yugoslavia,5,0,Group 1,,Stade de Gerland, Lyon,34736,1984
1984/6/19,France,Yugoslavia,3,2,Group 1,,Stade Geoffroy-Guichard, Saint-脡tienne,47510,1984
1984/6/19,Denmark,Belgium,3,2,Group 1,,Stade de la Meinau, Strasbourg,36911,1984
1984/6/14,West Germany,Portugal,0,0,Group 2,,Stade de la Meinau, Strasbourg,44707,1984
1984/6/14,Romania,Spain,1,1,Group 2,,Stade Geoffroy-Guichard, Saint-脡tienne,16972,1984
1984/6/17,West Germany,Romania,2,1,Group 2,,Stade F茅lix-Bollaert, Lens,31787,1984
1984/6/17,Portugal,Spain,1,1,Group 2,,Stade V茅lodrome, Marseille,24364,1984
1984/6/20,West Germany,Spain,0,1,Group 2,,Parc des Princes, Paris,47691,1984
1984/6/20,Portugal,Romania,1,0,Group 2,,Stade de la Beaujoire, Nantes,24464,1984
1984/6/23,France,Portugal,3,2,Semi-finals,France win after extra time ,Stade V茅lodrome, Marseille,54848,1984
1984/6/24,Denmark,Spain,1,1,Semi-finals,Spain win on Penalities 4鈥?,Stade de Gerland, Lyon,47843,1984
1984/6/27,France,Spain,2,0,Final,,Parc des Princes, Paris,47368,1984
1988/6/10,West Germany,Italy,1,1,Group 1,,Rheinstadion, D眉sseldorf,62552,1988
1988/6/11,Denmark,Spain,2,3,Group 1,,Niedersachsenstadion, Hanover,55707,1988
1988/6/14,West Germany,Denmark,2,0,Group 1,,Parkstadion, Gelsenkirchen,64812,1988
1988/6/14,Italy,Spain,1,0,Group 1,,Waldstadion, Frankfurt,47506,1988
1988/6/17,West Germany,Spain,2,0,Group 1,,Olympiastadion, Munich,63802,1988
1988/6/17,Italy,Denmark,2,0,Group 1,,M眉ngersdorfer Stadion, Cologne,53951,1988
1988/6/12,England,Republic of Ireland,0,1,Group 2,,Neckarstadion, Stuttgart,51373,1988
1988/6/12,Netherlands,Soviet Union,0,1,Group 2,,M眉ngersdorfer Stadion, Cologne,54336,1988
1988/6/15,England,Netherlands,1,3,Group 2,,Rheinstadion, D眉sseldorf,63940,1988
1988/6/15,Republic of Ireland,Soviet Union,1,1,Group 2,,Niedersachsenstadion, Hanover,38308,1988
1988/6/18,England,Soviet Union,1,3,Group 2,,Waldstadion, Frankfurt,48335,1988
1988/6/18,Republic of Ireland,Netherlands,0,1,Group 2,,Parkstadion, Gelsenkirchen,64731,1988
1988/6/21,West Germany,Netherlands,1,2,Semi-finals,,Volksparkstadion, Hamburg,56115,1988
1988/6/22,Soviet Union,Italy,2,0,Semi-finals,,Neckarstadion, Stuttgart,61606,1988
1988/6/25,Soviet Union,Netherlands,0,2,Final,,Olympiastadion, Munich,62770,1988
1992/6/10,Sweden,France,1,1,Group 1,,R氓sunda Stadium, Solna,29860,1992
1992/6/11,Denmark,England,0,0,Group 1,,Malm枚 Stadion, Malm枚,26385,1992
1992/6/14,France,England,0,0,Group 1,,Malm枚 Stadion, Malm枚,26535,1992
1992/6/14,Sweden,Denmark,1,0,Group 1,,R氓sunda Stadium, Solna,29902,1992
1992/6/17,Sweden,England,2,1,Group 1,,R氓sunda Stadium, Solna,30126,1992
1992/6/17,France,Denmark,1,2,Group 1,,Malm枚 Stadion, Malm枚,25763,1992
1992/6/12,Netherlands,Scotland,1,0,Group 2,,Ullevi, Gothenburg,35720,1992
1992/6/12,CIS,Germany,1,1,Group 2,,Idrottsparken, Norrk枚ping,17410,1992
1992/6/15,Scotland,Germany,0,2,Group 2,,Idrottsparken, Norrk枚ping,17638,1992
1992/6/15,Netherlands,CIS,0,0,Group 2,,Ullevi, Gothenburg,34440,1992
1992/6/18,Netherlands,Germany,3,1,Group 2,,Ullevi, Gothenburg,37725,1992
1992/6/18,Scotland,CIS,3,0,Group 2,,Idrottsparken, Norrk枚ping,14660,1992
1992/6/21,Sweden,Germany,2,3,Semi-finals,,R氓sunda Stadium, Solna,28827,1992
1992/6/22,Netherlands,Denmark,2,2,Semi-finals,Denmark win on Penalities 4鈥?,Ullevi, Gothenburg,37450,1992
1992/6/26,Denmark,Germany,2,0,Final,,Ullevi, Gothenburg,37800,1992
1996/6/8,England,Switzerland,1,1,Group A,,Wembley Stadium, London,76567,1996
1996/6/10,Netherlands,Scotland,0,0,Group A,,Villa Park, Birmingham,34363,1996
1996/6/13,Switzerland,Netherlands,0,2,Group A,,Villa Park, Birmingham,36800,1996
1996/6/15,Scotland,England,0,2,Group A,,Wembley Stadium, London,76864,1996
1996/6/18,Scotland,Switzerland,1,0,Group A,,Villa Park, Birmingham,34926,1996
1996/6/18,Netherlands,England,1,4,Group A,,Wembley Stadium, London,76798,1996
1996/6/9,Spain,Bulgaria,1,1,Group B,,Elland Road, Leeds,24006,1996
1996/6/10,Romania,France,0,1,Group B,,St James' Park, Newcastle,26323,1996
1996/6/13,Bulgaria,Romania,1,0,Group B,,St James' Park, Newcastle,19107,1996
